"Day ","Items ","Note ","Amount "
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13863","-129"
"88","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 344","-15000"
"88","Retail","Revenue - Retail Sales New York - Mouthwash","19173"
"88","Retail","Revenue - Retail Sales New York - Body Wash  ","19620"
"88","Retail","Revenue - Retail Sales New York - Shampoo","21976"
"88","Retail","Revenue - Retail Sales Detroit - Mouthwash","15660"
"88","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9425"
"88","Retail","Revenue - Retail Sales Detroit - Shampoo","12064"
"88","Retail","Revenue - Retail Sales Chicago - Mouthwash","8160"
"88","Retail","Revenue - Retail Sales Chicago - Body Wash  ","7004"
"88","Retail","Revenue - Retail Sales Chicago - Shampoo","7344"
"88","Services","Revenue - Service Sales Order ID: 13315","74100"
"88","Rental Expense","Cash Payment - Rental - New York","-8040"
"88","Rental Expense","Cash Payment - Rental - Detroit","-3000"
"88","Rental Expense","Cash Payment - Rental - Miami","-3600"
"88","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"87","Sales E Commerce","Revenue - ECM SO ID: 12898","11448"
"87","Sales E Commerce","Revenue - ECM SO ID: 13297","35568"
"87","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13638 ","-113920"
"87","Wholesales (B2B)","Revenue - B2B SO ID: 12189","473000"
"87","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12189","-24000"
"87","Wholesales (B2B)","Revenue - B2B SO ID: 12734","418100"
"87","Human Resource Expense","Counselled","-2000"
"87","Human Resource Expense","Counselled","-2000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"87","Salary Expense","Cash Payment - Salary Expense","-40232"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13809","-61"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13815","-145"
"87","Retail","Revenue - Retail Sales New York - Mouthwash","17376"
"87","Retail","Revenue - Retail Sales New York - Body Wash  ","18270"
"87","Retail","Revenue - Retail Sales New York - Shampoo","21000"
"87","Retail","Revenue - Retail Sales Detroit - Mouthwash","15792"
"87","Retail","Revenue - Retail Sales Detroit - Body Wash  ","8876"
"87","Retail","Revenue - Retail Sales Detroit - Shampoo","11811"
"87","Retail","Revenue - Retail Sales Chicago - Mouthwash","9141"
"87","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6897"
"87","Retail","Revenue - Retail Sales Chicago - Shampoo","8085"
"87","Rental Expense","Cash Payment - Rental - New York","-8040"
"87","Rental Expense","Cash Payment - Rental - Detroit","-3000"
"87","Rental Expense","Cash Payment - Rental - Miami","-3600"
"87","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"86","Sales E Commerce","Revenue - ECM SO ID: 13128","6882"
"86","Sales E Commerce","Revenue - ECM SO ID: 13138","6845"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13489 ","-53600"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13646 ","-53600"
"86","Wholesales (B2B)","Revenue - B2B SO ID: 11988","638550"
"86","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 11988","-18000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13821 ","-45000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13821 ","-51000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13821 ","-19000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"86","Salary Expense","Cash Payment - Salary Expense","-40111"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13649","-173"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13654","-136"
"86","Retail","Revenue - Retail Sales New York - Mouthwash","19936"
"86","Retail","Revenue - Retail Sales New York - Body Wash  ","23730"
"86","Retail","Revenue - Retail Sales New York - Shampoo","19280"
"86","Retail","Revenue - Retail Sales Detroit - Mouthwash","16884"
"86","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9800"
"86","Retail","Revenue - Retail Sales Detroit - Shampoo","10509"
"86","Retail","Revenue - Retail Sales Chicago - Mouthwash","8580"
"86","Retail","Revenue - Retail Sales Chicago - Body Wash  ","7458"
"86","Retail","Revenue - Retail Sales Chicago - Shampoo","6825"
"86","Rental Expense","Cash Payment - Rental - New York","-8040"
"86","Rental Expense","Cash Payment - Rental - Detroit","-3000"
"86","Rental Expense","Cash Payment - Rental - Miami","-3600"
"86","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13313 ","-342400"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13482 ","-54720"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 12902","370700"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 13298","332937"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"85","Salary Expense","Cash Payment - Salary Expense","-40088"
"85","Retail","Revenue - Retail Sales New York - Mouthwash","19744"
"85","Retail","Revenue - Retail Sales New York - Body Wash  ","22155"
"85","Retail","Revenue - Retail Sales New York - Shampoo","19680"
"85","Retail","Revenue - Retail Sales Detroit - Mouthwash","15120"
"85","Retail","Revenue - Retail Sales Detroit - Body Wash  ","10528"
"85","Retail","Revenue - Retail Sales Detroit - Shampoo","11160"
"85","Retail","Revenue - Retail Sales Chicago - Mouthwash","8514"
"85","Retail","Revenue - Retail Sales Chicago - Body Wash  ","7392"
"85","Retail","Revenue - Retail Sales Chicago - Shampoo","7035"
"85","Services","Revenue - Service Sales Order ID: 11979","56700"
"85","Rental Expense","Cash Payment - Rental - New York","-10720"
"85","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"85","Rental Expense","Cash Payment - Rental - Miami","-3600"
"85","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"84","Sales E Commerce","Revenue - ECM SO ID: 12742","5856"
"84","Sales E Commerce","Revenue - ECM SO ID: 12751","15513"
"84","Sales E Commerce","Revenue - ECM SO ID: 12760","5484"
"84","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13306 ","-125600"
"84","Human Resource Expense","Counselled","-2000"
"84","Human Resource Expense","Counselled","-2000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"84","Salary Expense","Cash Payment - Salary Expense","-40017"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12898","-114"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13297","-356"
"84","Retail","Revenue - Retail Sales New York - Mouthwash","18432"
"84","Retail","Revenue - Retail Sales New York - Body Wash  ","23030"
"84","Retail","Revenue - Retail Sales New York - Shampoo","20080"
"84","Retail","Revenue - Retail Sales Detroit - Mouthwash","16716"
"84","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9884"
"84","Retail","Revenue - Retail Sales Detroit - Shampoo","10385"
"84","Retail","Revenue - Retail Sales Chicago - Mouthwash","8316"
"84","Retail","Revenue - Retail Sales Chicago - Body Wash  ","8118"
"84","Retail","Revenue - Retail Sales Chicago - Shampoo","6930"
"84","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9594","-4400"
"84","Rental Expense","Cash Payment - Rental - New York","-10720"
"84","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"84","Rental Expense","Cash Payment - Rental - Miami","-3600"
"84","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"83","Sales E Commerce","Revenue - ECM SO ID: 12398","2072"
"83","Sales E Commerce","Revenue - ECM SO ID: 12537","14280"
"83","Sales E Commerce","Revenue - ECM SO ID: 12546","16001"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12922 ","-136800"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12942 ","-512000"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13112 ","-98560"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13129 ","-256000"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 11975","544500"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"83","Salary Expense","Cash Payment - Salary Expense","-39995"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13128","-69"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13138","-68"
"83","Retail","Revenue - Retail Sales New York - Mouthwash","20000"
"83","Retail","Revenue - Retail Sales New York - Body Wash  ","23520"
"83","Retail","Revenue - Retail Sales New York - Shampoo","20920"
"83","Retail","Revenue - Retail Sales Detroit - Mouthwash","15652"
"83","Retail","Revenue - Retail Sales Detroit - Body Wash  ","10752"
"83","Retail","Revenue - Retail Sales Detroit - Shampoo","9889"
"83","Retail","Revenue - Retail Sales Chicago - Mouthwash","8514"
"83","Retail","Revenue - Retail Sales Chicago - Body Wash  ","8019"
"83","Retail","Revenue - Retail Sales Chicago - Shampoo","7525"
"83","Services","Revenue - Service Sales Order ID: 11807","67900"
"83","Services","Revenue - Service Sales Order ID: 11951","48600"
"83","Rental Expense","Cash Payment - Rental - New York","-10720"
"83","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"83","Rental Expense","Cash Payment - Rental - Miami","-3600"
"83","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12707 ","-432000"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12932 ","-384000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"82","Salary Expense","Cash Payment - Salary Expense","-39734"
"82","Retail","Revenue - Retail Sales New York - Mouthwash","57920"
"82","Retail","Revenue - Retail Sales New York - Body Wash  ","59710"
"82","Retail","Revenue - Retail Sales New York - Shampoo","61160"
"82","Retail","Revenue - Retail Sales Detroit - Mouthwash","44044"
"82","Retail","Revenue - Retail Sales Detroit - Body Wash  ","27188"
"82","Retail","Revenue - Retail Sales Detroit - Shampoo","28706"
"82","Retail","Revenue - Retail Sales Chicago - Mouthwash","26532"
"82","Retail","Revenue - Retail Sales Chicago - Body Wash  ","19800"
"82","Retail","Revenue - Retail Sales Chicago - Shampoo","19670"
"82","Services","Revenue - Service Sales Order ID: 11294","60400"
"82","Services","Revenue - Service Sales Order ID: 11960","12500"
"82","Rental Expense","Cash Payment - Rental - New York","-10720"
"82","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"82","Rental Expense","Cash Payment - Rental - Miami","-3600"
"82","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"81","Sales E Commerce","Revenue - ECM SO ID: 12167","1663"
"81","Sales E Commerce","Revenue - ECM SO ID: 12187","1627"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 11612","1056000"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 11806","359700"
"81","Human Resource Expense","Attended Training","-15000"
"81","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"81","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"81","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"81","Salary Expense","Cash Payment - Salary Expense","-39388"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12742","-59"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12751","-155"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12760","-55"
"81","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 283","-15000"
"81","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 286","-15000"
"81","Retail","Revenue - Retail Sales New York - Mouthwash","51040"
"81","Retail","Revenue - Retail Sales New York - Body Wash  ","63175"
"81","Retail","Revenue - Retail Sales New York - Shampoo","59800"
"81","Retail","Revenue - Retail Sales Detroit - Mouthwash","44296"
"81","Retail","Revenue - Retail Sales Detroit - Body Wash  ","27076"
"81","Retail","Revenue - Retail Sales Detroit - Shampoo","29450"
"81","Retail","Revenue - Retail Sales Chicago - Mouthwash","26005"
"81","Retail","Revenue - Retail Sales Chicago - Body Wash  ","22270"
"81","Retail","Revenue - Retail Sales Chicago - Shampoo","19499"
"81","Rental Expense","Cash Payment - Rental - New York","-10720"
"81","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"81","Rental Expense","Cash Payment - Rental - Miami","-3600"
"81","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"80","Sales E Commerce","Revenue - ECM SO ID: 11092","16790"
"80","Sales E Commerce","Revenue - ECM SO ID: 11116","17568"
"80","Sales E Commerce","Revenue - ECM SO ID: 11974","31840"
"80","Sales E Commerce","Revenue - ECM SO ID: 11986","16416"
"80","Overdraft","","937500"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12476 ","-537600"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12542 ","-88320"
"80","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12552 ","-128000"
"80","Wholesales (B2B)","Revenue - B2B SO ID: 11775","2127600"
"80","Overdraft","Repayment","-625000"
"80","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"80","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"80","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"80","Salary Expense","Cash Payment - Salary Expense","-38378"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12398","-21"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12537","-143"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12546","-160"
"80","Retail","Revenue - Retail Sales New York - Mouthwash","50259"
"80","Overdraft","Repayment","-937500"
"80","Retail","Revenue - Retail Sales New York - Body Wash  ","62820"
"80","Retail","Revenue - Retail Sales New York - Shampoo","52767"
"80","Retail","Revenue - Retail Sales Detroit - Mouthwash","47547"
"80","Retail","Revenue - Retail Sales Detroit - Body Wash  ","28855"
"80","Retail","Revenue - Retail Sales Detroit - Shampoo","28576"
"80","Retail","Revenue - Retail Sales Chicago - Mouthwash","24084"
"80","Retail","Revenue - Retail Sales Chicago - Body Wash  ","19188"
"80","Retail","Revenue - Retail Sales Chicago - Shampoo","19646"
"80","Services","Revenue - Service Sales Order ID: 11214","43100"
"80","Rental Expense","Cash Payment - Rental - New York","-10720"
"80","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"80","Rental Expense","Cash Payment - Rental - Miami","-3600"
"80","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"79","Sales E Commerce","Revenue - ECM SO ID: 11459","12778"
"79","Sales E Commerce","Revenue - ECM SO ID: 11774","5660"
"79","Sales E Commerce","Revenue - ECM SO ID: 11786","11628"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12154 ","-75000"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12154 ","-51000"
"79","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12154 ","-57000"
"79","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12185 ","-547840"
"79","Overdraft","","1250000"
"79","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12185 ","-665600"
"79","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12318 ","-92800"
"79","Wholesales (B2B)","Revenue - B2B SO ID: 12160","908650"
"79","Overdraft","Repayment","-625000"
"79","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12534 ","-320000"
"79","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 12560 ","-518400"
"79","Human Resource Expense","Counselled","-2000"
"79","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"79","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"79","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"79","Salary Expense","Cash Payment - Salary Expense","-38378"
"79","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:12425","-998"
"79","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:12543","-1003"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 344","-15000"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 391","-15000"
"79","Retail","Revenue - Retail Sales New York - Mouthwash","54777"
"79","Retail","Revenue - Retail Sales New York - Body Wash  ","62186"
"79","Retail","Revenue - Retail Sales New York - Shampoo","57954"
"79","Retail","Revenue - Retail Sales Detroit - Mouthwash","45400"
"79","Retail","Revenue - Retail Sales Detroit - Body Wash  ","24354"
"79","Retail","Revenue - Retail Sales Detroit - Shampoo","31530"
"79","Retail","Revenue - Retail Sales Chicago - Mouthwash","24888"
"79","Retail","Revenue - Retail Sales Chicago - Body Wash  ","21450"
"79","Retail","Revenue - Retail Sales Chicago - Shampoo","21204"
"79","Interest Expense ","Cash Payment - Interest - For Overdraft","-1027"
"79","Rental Expense","Cash Payment - Rental - New York","-10720"
"79","Rental Expense","Cash Payment - Rental - Detroit","-4000"
"79","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","-1220"
"79","Rental Expense","Cash Payment - Rental - Miami","-3600"
"79","Rental Expense","Cash Payment - Rental - Chicago","-5920"
"78","Sales E Commerce","Revenue - ECM SO ID: 11432","18059"
"78","Sales E Commerce","Revenue - ECM SO ID: 11445","9794"
"78","Sales E Commerce","Revenue - ECM SO ID: 11491","2215"
"78","Sales E Commerce","Revenue - ECM SO ID: 11625","9302"
"78","Sales E Commerce","Revenue - ECM SO ID: 11631","9715"
"78","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 11984 ","-140800"
"78","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11985 ","-75000"
"78","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 11985 ","-51000"
